pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
HD 2952,b,HD 2952 b,Radial Velocity,0,1,311.60001,1.8,-1.8,0,2,1.23,0.02,-0.02,0,2,0.13,0.09,-0.09,0,2.0,,,,0.0,0.0,1.37,0.26,-0.26,0,2,Msini,,,,0.0,0.0,,,,0.0,0,0,0,00h33m10.39s,+54d53m41.9s,8.293311,1e-06,54.894985,1e-06,2.0,110.45,0.65,-0.65,0.0,3,5.922,0.009,0.0,V (Johnson),5.628,,0.0,4844.0,20.0,-20.0,0.0,3.0,1.97,0.38,-0.38,0.0,2.0,10.76,0.58,-0.58,0.0,3,0,2018-09-06,Okayama Astrophysical Observatory,
HD 3651,b,HD 3651 b,Radial Velocity,0,1,62.25,0.004,-0.004,0,4,0.295,0.029,-0.029,0,4,0.645,0.02,-0.02,0,4.0,,,,0.0,0.0,0.228,0.011,-0.011,0,4,Msini,,,,0.0,0.0,,,,0.0,0,0,0,00h39m21.81s,+21d15m01.7s,9.840858,2e-06,21.250473,2e-06,4.0,11.14,0.01,-0.01,0.0,6,5.86,,0.0,V (Johnson),5.635,,0.0,5221.0,,,0.0,7.0,0.8,,,0.0,6.0,,,,4.0,0,2019-03-14,Multiple Observatories,,
HD 4113,b,HD 4113 b,Radial Velocity,0,1,526.62,0.3,-0.3,0,1,1.28,,,0,1,0.903,0.005,-0.005,0,1.0,,,,,0.0,1.56,0.04,-0.04,0,1,Msini,,,,,0.0,,,,,0,0,0,0,00h43m12.60s,-37d58m57.5s,10.802486,2e-06,-37.982632,2e-06,2.0,41.92,0.09,-0.09,0,2.0,7.881,0.012,0,V (Johnson),7.711,,0.0,5688.0,26.0,-26.0,0.0,3.0,0.99,,,0.0,2.0,,,,2,0,2014-12-03,La Silla Observatory,
HD 4203,b,HD 4203 b,Radial Velocity,0,2,431.88,0.85,-0.85,0,4,1.17,0.02,-0.02,0,4,0.52,0.03,-0.03,0,4.0,,,,0.0,0.0,2.23,0.21,-0.21,0,4,Msini,,,,0.0,0.0,,,,0.0,0,0,0,00h44m41.20s,+20d26m56.1s,11.171676,3e-06,20.448927,2e-06,2.0,81.57,0.36,-0.36,0.0,3,8.687,0.017,0.0,V (Johnson),8.515,,0.0,5596.0,20.0,-20.0,0.0,7.0,1.25,0.16,-0.16,0.0,8.0,1.42,0.05,-0.05,0.0,4,0,2018-09-06,W. M. Keck Observatory,
HD 4203,c,HD 4203 c,Radial Velocity,0,2,6700.0,4500.0,-4500.0,0,2,6.95,1.93,-0.56,0,1,0.24,0.13,-0.13,0,2.0,,,,,0.0,2.17,0.52,-0.52,0,2,Msini,,,,,0.0,,,,,0,0,0,0,00h44m41.20s,+20d26m56.1s,11.171676,3e-06,20.448927,2e-06,2.0,81.57,0.36,-0.36,0,3.0,8.687,0.017,0,V (Johnson),8.515,,0.0,5596.0,20.0,-20.0,0.0,7.0,1.25,0.16,-0.16,0.0,8.0,1.42,0.05,-0.05,0,4,0,2014-05-14,Gemini Observatory
HD 4208,b,HD 4208 b,Radial Velocity,0,1,832.97,2.15,-1.89,0,4,1.662,0.015,-0.015,0,4,0.042,0.039,-0.029,0,4.0,,,,0.0,0.0,0.81,0.014,-0.015,0,4,Msini,,,,0.0,0.0,,,,0.0,0,0,0,00h44m26.65s,-26d30m56.4s,11.111043,2e-06,-26.51568,2e-06,2.0,34.23,0.07,-0.07,0.0,3,7.795,0.011,0.0,V (Johnson),7.611,,0.0,5717.0,33.0,-33.0,0.0,9.0,0.88,0.02,-0.02,0.0,8.0,0.85,0.03,-0.03,0.0,4,0,2019-06-27,W. M. Keck Observatory,
HD 4308,b,HD 4308 b,Radial Velocity,0,1,15.56,0.02,-0.02,0,2,0.12,0.0,0.0,0,2,0.0,,,0,2.0,,,,0.0,0.0,0.05,0.0,0.0,0,2,Msini,,,,0.0,0.0,,,,0.0,0,0,0,00h44m39.27s,-65d38m58.3s,11.163615,1e-06,-65.649521,1e-06,4.0,22.03,0.01,-0.01,0.0,5,6.56,,0.0,V (Johnson),6.372,,0.0,5686.0,16.0,-16.0,0.0,7.0,0.93,0.1,-0.1,0.0,6.0,1.02,0.01,-0.01,0.0,5,0,2018-09-06,La Silla Observatory,
HD 4313,b,HD 4313 b,Radial Velocity,0,1,356.21,0.88,-0.88,0,3,1.157,0.097,-0.097,0,3,0.147,0.047,-0.047,0,3.0,,,,0.0,0.0,1.927,0.09,-0.09,0,3,Msini,,,,,0.0,,,,0.0,0,0,0,00h45m40.36s,+07d50m42.1s,11.41816,2e-06,7.845021,1e-06,3.0,136.82,1.64,-1.64,0.0,3,7.83,,0.0,V (Johnson),7.574,,0.0,4943.0,,,0.0,6.0,1.63,,,0.0,5.0,5.14,,,0.0,5,0,2018-12-06,W. M. Keck Observatory,
HD 4732,b,HD 4732 b,Radial Velocity,0,2,360.2,1.4,-1.4,0,1,1.19,0.05,-0.05,0,1,0.13,0.06,-0.06,0,1.0,,,,,0.0,2.37,0.34,-0.34,0,1,Msini,,,,,0.0,,,,,0,0,0,0,00h49m13.95s,-24d08m12.0s,12.308117,3e-06,-24.136671,2e-06,2.0,54.87,0.17,-0.17,0,3.0,5.89,0.009,0,V (Johnson),5.633,,0.0,4959.0,25.0,-25.0,0.0,3.0,1.74,0.2,-0.14,0.0,2.0,5.4,0.4,-0.4,0,3,0,2014-05-14,Multiple Observatories
HD 4732,c,HD 4732 c,Radial Velocity,0,2,2732.0,81.0,-81.0,0,1,4.6,0.23,-0.23,0,1,0.23,0.07,-0.07,0,1.0,,,,,0.0,2.37,0.38,-0.38,0,1,Msini,,,,,0.0,,,,,0,0,0,0,00h49m13.95s,-24d08m12.0s,12.308117,3e-06,-24.136671,2e-06,2.0,54.87,0.17,-0.17,0,3.0,5.89,0.009,0,V (Johnson),5.633,,0.0,4959.0,25.0,-25.0,0.0,3.0,1.74,0.2,-0.14,0.0,2.0,5.4,0.4,-0.4,0,3,0,2014-05-14,Multiple Observatories
HD 5319,b,HD 5319 b,Radial Velocity,0,2,637.1,1.4,-1.4,0,5,1.57,0.11,-0.11,0,5,0.092,0.025,-0.025,0,5.0,,,,0.0,0.0,1.556,0.042,-0.042,0,5,Msini,,,,,0.0,,,,0.0,0,0,0,00h55m01.40s,+00d47m22.4s,13.755836,2e-06,0.789553,1e-06,3.0,121.83,0.71,-0.71,0.0,4,8.05,,0.0,V (Johnson),7.772,,0.0,4871.0,,,0.0,7.0,1.27,,,0.0,6.0,4.06,,,0.0,6,0,2018-12-06,W. M. Keck Observatory,
HD 5319,c,HD 5319 c,Radial Velocity,0,2,872.2,6.0,-6.0,0,3,1.93,0.13,-0.13,0,3,0.183,0.064,-0.064,0,3.0,,,,0.0,0.0,1.053,0.072,-0.072,0,3,Msini,,,,,0.0,,,,0.0,0,0,0,00h55m01.40s,+00d47m22.4s,13.755836,2e-06,0.789553,1e-06,3.0,121.83,0.71,-0.71,0.0,4,8.05,,0.0,V (Johnson),7.772,,0.0,4871.0,,,0.0,7.0,1.27,,,0.0,6.0,4.06,,,0.0,6,0,2018-12-06,W. M. Keck Observatory,
HD 5608,b,HD 5608 b,Radial Velocity,0,1,779.9,4.9,-4.9,0,3,1.911,0.088,-0.088,0,3,0.056,0.039,-0.039,0,3.0,,,,0.0,0.0,1.681,0.081,-0.081,0,3,Msini,,,,,0.0,,,,0.0,0,0,0,00h58m14.22s,+33d57m03.2s,14.559246,2e-06,33.950886,1e-06,2.0,58.21,0.22,-0.22,0.0,3,5.99,,0.0,V (Johnson),5.712,,0.0,4877.0,,,0.0,6.0,1.53,,,0.0,5.0,5.14,,,0.0,5,0,2018-12-06,Okayama Astrophysical Observatory,
HD 5891,b,HD 5891 b,Radial Velocity,0,1,177.11,0.32,-0.32,0,2,0.64,0.04,-0.04,0,2,0.07,0.02,-0.02,0,2.0,,,,0.0,0.0,7.63,1.43,-1.43,0,2,Msini,,,,0.0,0.0,,,,0.0,0,0,0,01h00m33.19s,+20d17m32.9s,15.1383,2e-06,20.292484,2e-06,2.0,285.75,4.9,-4.9,0.0,2,8.25,,0.0,V (Johnson),7.798,,0.0,4673.0,123.0,-123.0,0.0,5.0,1.93,0.54,-0.54,0.0,4.0,10.64,0.99,-0.99,0.0,4,0,2018-09-06,W. M. Keck Observatory,
HD 6434,b,HD 6434 b,Radial Velocity,0,1,21.998,0.009,-0.009,0,3,0.14,0.0,0.0,0,3,0.17,0.03,-0.03,0,3.0,,,,0.0,0.0,0.49,0.04,-0.04,0,3,Msini,,,,0.0,0.0,,,,0.0,0,0,0,01h04m40.15s,-39d29m17.6s,16.167295,2e-06,-39.488216,1e-06,3.0,42.41,0.08,-0.08,0.0,3,7.71,0.12,0.0,V (Johnson),7.561,,0.0,5769.0,14.0,-14.0,0.0,6.0,1.1,0.13,-0.13,0.0,5.0,1.12,0.01,-0.01,0.0,4,0,2018-09-06,La Silla Observatory,
